RxNorm,ATC
430413,C05AX04
436525,C05AX04
437852,C05AX04
437853,C05AX04
437878,C05AX04
437882,C05AX04
437883,C05AX04
437884,C05AX04
437976,C05AX04
438059,C05AX04
438060,C05AX04
438061,C05AX04
438194,C05AX04
438195,C05AX04
438196,C05AX04
438197,C05AX04
438198,C05AX04
438574,C05AX04
438576,C05AX04
438706,C05AX04
438807,C05AX04
438808,C05AX04
438825,C05AX04
438854,C05AX04
438929,C05AX04
439135,C05AX04
439190,C05AX04
439234,C05AX04
440308,C05AX04
440570,C05AX04
440670,C05AX04
440672,C05AX04
440674,C05AX04
440676,C05AX04
440677,C05AX04
440678,C05AX04
440680,C05AX04
440687,C05AX04
440689,C05AX04
440700,C05AX04
440713,C05AX04
440714,C05AX04
440715,C05AX04
440800,C05AX04
440802,C05AX04
440803,C05AX04
440804,C05AX04
440845,C05AX04
440882,C05AX04
440888,C05AX04
440889,C05AX04
440890,C05AX04
440911,C05AX04
440912,C05AX04
440913,C05AX04
440915,C05AX04
440916,C05AX04
440917,C05AX04
4419,C05AX04
446195,C05AX04
446196,C05AX04
446483,C05AX04
446500,C05AX04
446593,C05AX04
448,C05AX04
45045,C05AX04
450476,C05AX04
451085,C05AX04
451086,C05AX04
451087,C05AX04
451088,C05AX04
451093,C05AX04
451107,C05AX04
451389,C05AX04
451396,C05AX04
451839,C05AX04
452263,C05AX04
452525,C05AX04
452649,C05AX04
452650,C05AX04
452652,C05AX04
452653,C05AX04
452654,C05AX04
452655,C05AX04
452656,C05AX04
452657,C05AX04
452658,C05AX04
452659,C05AX04
452660,C05AX04
452661,C05AX04
452662,C05AX04
452663,C05AX04
452664,C05AX04
452665,C05AX04
452666,C05AX04
452667,C05AX04
452675,C05AX04
452676,C05AX04
452677,C05AX04
452678,C05AX04
452679,C05AX04
452680,C05AX04
452695,C05AX04
4530,C05AX04
4537,C05AX04
47180,C05AX04
476135,C05AX04
477174,C05AX04
477175,C05AX04
477180,C05AX04
477181,C05AX04
486076,C05AX04
487252,C05AX04
4910,C05AX04
508,C05AX04
5224,C05AX04
5293,C05AX04
5321,C05AX04
5340,C05AX04
5492,C05AX04
5509,C05AX04
5645,C05AX04
56466,C05AX04
570536,C05AX04
572308,C05AX04
572811,C05AX04
573161,C05AX04
574277,C05AX04
574278,C05AX04
575489,C05AX04
577229,C05AX04
577230,C05AX04
577231,C05AX04
577232,C05AX04
579598,C05AX04
581458,C05AX04
581681,C05AX04
581805,C05AX04
581827,C05AX04
581829,C05AX04
59087,C05AX04
59247,C05AX04
5942,C05AX04
6085,C05AX04
6086,C05AX04
6102,C05AX04
611,C05AX04
616504,C05AX04
616507,C05AX04
616525,C05AX04
616527,C05AX04
617953,C05AX04
617954,C05AX04
617977,C05AX04
617978,C05AX04
617979,C05AX04
617980,C05AX04
62130,C05AX04
6227,C05AX04
62372,C05AX04
630922,C05AX04
630923,C05AX04
631669,C05AX04
637127,C05AX04
637128,C05AX04
637129,C05AX04
637147,C05AX04
637148,C05AX04
637149,C05AX04
637167,C05AX04
637168,C05AX04
637461,C05AX04
637462,C05AX04
637481,C05AX04
637565,C05AX04
6387,C05AX04
639747,C05AX04
645280,C05AX04
645585,C05AX04
645588,C05AX04
646455,C05AX04
6536,C05AX04
6574,C05AX04
6623,C05AX04
664978,C05AX04
6750,C05AX04
6769,C05AX04
686403,C05AX04
6932,C05AX04
6972,C05AX04
702005,C05AX04
702006,C05AX04
702420,C05AX04
702421,C05AX04
702422,C05AX04
702470,C05AX04
70589,C05AX04
70616,C05AX04
