RxNorm,UMLS
800571,C2345430
1007151,C2928073
1007150,C2928072
1007153,C2928075
1539190,C3832603
1007155,C2928077
2257302,C5211278
1007157,C2928079
1007156,C2928078
1863344,C4301181
487070,C1576821
705851,C1948522
2280740,C5241623
2280741,C5241624
2280743,C5241626
2280744,C5241627
2280745,C5241628
2280746,C5241629
1159390,C3213776
2280749,C5241632
1162762,C3217084
1162763,C3217085
1162764,C3217086
1162765,C3217087
1159399,C3213785
1159398,C3213784
1151564,C3206084
31765,C0068722
1161491,C3215829
31767,C0068724
1151560,C3206080
1151561,C3206081
1151562,C3206082
1151563,C3206083
1161498,C3215836
1424876,C0665917
380857,C1256297
1012896,C2938762
1012897,C2938763
1012894,C2938760
1012895,C2938761
1012892,C1699926
1012893,C2938759
1012890,C2938758
1012891,C0388087
72210,C0244580
1157947,C3212364
1012898,C2938764
1012899,C2938765
1189259,C3244632
1189258,C2587024
2104486,C4740870
2104487,C4735448
2108832,C4745979
1189257,C2587023
1189256,C2587022
378213,C1252462
378214,C1577878
1193402,C3247942
1193405,C3247945
1193404,C3247944
2057715,C4731121
2057714,C4731120
2057717,C4731123
2057716,C4731122
2057719,C4731124
2099129,C4731789
1796412,C4257314
1796411,C4257332
206997,C0708232
373539,C1247607
373538,C1247606
1546019,C2699562
373534,C1247602
1796419,C2722869
1870316,C4306994
1870311,C4306904
373533,C1247601
1870312,C4306995
1593742,C3859728
1593743,C3859729
1593740,C3859726
1593741,C3859727
1537106,C3817150
1537107,C3812630
1593744,C3859730
1593745,C3859731
1593749,C3859732
1161239,C3215585
1161238,C3215584
1169005,C3223162
1169007,C3223164
317869,C0994613
317865,C0994521
1152586,C4075520
370442,C1244463
1169008,C3223165
1160720,C3215080
1160721,C3215081
1724885,C4048819
1724884,C4048639
1724881,C4048821
1724880,C4048636
1179077,C3232961
1179078,C3232962
1426477,C1880232
287513,C0947604
287516,C0947610
287515,C0947608
854964,C2709768
854965,C2709769
854966,C2709770
854967,C2709771
854960,C2709764
854961,C2709765
854962,C2709766
854963,C2709767
854968,C2709772
854969,C2709773
366692,C1240661
366691,C1240660
366697,C1240666
968804,C0795597
1165808,C3220049
215672,C0718935
832067,C2608296
1165801,C0544373
1165802,C3220043
1165804,C3220045
1165805,C3220046
1301670,C3474686
2375044,C5384536
404780,C1329985
404783,C1329988
2375047,C5384562
1309448,C3256789
1309449,C3256708
2375042,C5239717
404786,C1329991
404789,C1329994
404788,C1329993
1309446,C3256784
1309447,C3255703
1309440,C3255947
1309441,C3256419
1309442,C3256366
1309443,C3256367
314365,C0981881
1874126,C4318122
1874124,C4318120
1874125,C4318121
1874123,C4318119
1171204,C3225286
1874128,C4318124
1874129,C4318125
379582,C1254013
1295577,C3466240
904458,C0979724
904459,C2746935
439501,C1368975
1295572,C3466235
828716,C2370755
904456,C2721990
904457,C2746934
828712,C2370751
904455,C2746933
236665,C0771967
1995291,C4541836
1100447,C3153907
996476,C0716526
855610,C2710050
855613,C0350925
855612,C2710051
892625,C0708427
205217,C0705629
602127,C1629805
236660,C0771960
404125,C1329330
10355,C0039468
404127,C1329332
1987643,C4530410
1987640,C4530409
1987646,C4530413
1987647,C4530414
1987644,C4530411
1987645,C4530412
1151159,C3205687
392672,C1302956
328708,C1123679
1087259,C2356033
1246064,C2684644
1246065,C2684645
1246066,C2684646
328702,C1123673
1246069,C1605586
328700,C1123671
1087256,C2962834
1087257,C2962835
328704,C1123675
1087255,C2962833
1163402,C3217713
236206,C0771458
236205,C0771457
236204,C0771456
1163406,C3217717
236202,C0771454
236200,C0771451
749550,C1968353
1163409,C3217720
584162,C1615795
283652,C0937729
236209,C0771461
236208,C0771460
1296911,C3467504
1152340,C3206842
1296913,C3467506
1296912,C3467505
1494846,C3818747
1494845,C3818748
1296916,C3467509
334688,C1131492
1186521,C3240273
1657343,C0875853
1657342,C4033847
1657341,C3887814
1657340,C4034120
1043702,C2948300
1043703,C2948301
1233664,C3249811
1233662,C3249809
1233661,C3249808
1153360,C3207845
1112894,C1620804
2380356,C5239612
2380357,C5390994
1606859,C4017963
1606854,C4017959
1606851,C4017956
1606850,C4017955
1606853,C4017958
1606852,C4017957
1716084,C4056734
605477,C1655274
1716086,C4056927
1716087,C4056573
1716080,C4056735
1716081,C4056547
1086709,C2962503
1086708,C2962502
1086707,C2962501
1086706,C2962500
1117110,C3194748
1117116,C3194751
1117114,C3194750
728231,C1964306
597921,C0713380
1491721,C3819995
1491720,C3819786
1491722,C3818489
491056,C1577465
61805,C0173083
1160983,C3215338
1176529,C3230473
1432982,C3663400
863638,C0716539
863630,C0875736
863636,C1711862
863637,C1607543
863635,C2722250
353487,C1171259
2178390,C3852671
1042820,C2947835
353484,C1171255
2178395,C5188084
2178394,C5188083
2178397,C5188086
2178396,C5188085
2178399,C5188088
2178398,C5188087
1042829,C1364154
1724419,C4059933
1803894,C3667802
1803895,C4276174
1803896,C4275756
1803890,C4276256
1803892,C3667804
1803893,C4275757
1855732,C4293189
1180737,C3234587
1855730,C4292775
1855731,C4293432
1855736,C4293564
1855737,C4293621
1855735,C2698152
1855738,C4293600
1855739,C4292544
1043191,C2947978
284430,C0939005
849760,C0689042
992816,C1878058
2170229,C5140726
1432981,C3663399
2170228,C5140741
245667,C0786388
245663,C0786383
540281,C1584949
245660,C0786380
1177693,C3231610
1177694,C3231611
591568,C1541936
1177699,C3231616
218708,C0722071
370609,C1244630
262272,C0877804
1865292,C4301652
2059050,C4731676
2059052,C4731678
1865295,C4284017
48876,C0113071
48877,C0113075
581338,C1614344
581337,C1616793
311078,C0977854
2048119,C4703863
